1	30.1371	4.2342	-0.8577
2	23.7349	10.632	-0.8557
3	36.5348	4.2342	-1.03
4	30.1325	10.632	-1.028
5	10.9395	10.632	-0.5111
6	0	0	0
7	10.9441	4.2342	-0.3409
8	4.5418	10.632	-0.3389
9	23.7394	4.2342	-0.6854
10	17.3372	10.632	-0.6834
11	36.5302	10.632	-1.2002
12	17.3418	4.2342	-0.5132
13	4.5464	4.2342	-0.1686
14	4.5372	17.0297	-0.5091
15	10.9303	23.4274	-0.8517
16	10.9349	17.0297	-0.6814
17	4.5326	23.4274	-0.6794
18	17.3326	17.0297	-0.8537
19	17.328	23.4274	-1.0239
20	17.3234	29.8252	-1.1942
21	4.5235	36.2229	-1.0199
22	17.3188	36.2229	-1.3645
23	10.9257	29.8252	-1.0219
24	10.9212	36.2229	-1.1922
25	4.5281	29.8252	-0.8496
26	23.7303	17.0297	-1.026
27	30.1234	23.4274	-1.3685
28	30.128	17.0297	-1.1982
29	36.5256	17.0297	-1.3705
30	36.5211	23.4274	-1.5408
31	23.7257	23.4274	-1.1962
32	23.7211	29.8252	-1.3665
33	23.7165	36.2229	-1.5367
34	30.1188	29.8252	-1.5388
35	30.1142	36.2229	-1.709
36	36.5165	29.8252	-1.711
37	36.5119	36.2229	-1.8813
38	23.7073	49.0184	-1.8773
39	30.105	49.0184	-2.0495
40	4.5189	42.6206	-1.1902
41	17.3143	42.6206	-1.5347
42	4.5143	49.0184	-1.3604
43	17.3097	49.0184	-1.705
44	36.5073	42.6206	-2.0516
45	23.7119	42.6206	-1.707
46	36.5027	49.0184	-2.2218
47	10.912	49.0184	-1.5327
48	10.9166	42.6206	-1.3624
49	30.1096	42.6206	-1.8793
50	42.9233	17.0297	-1.5428
51	49.321	17.0297	-1.7151
52	42.9325	4.2342	-1.2023
53	49.3118	29.8252	-2.0556
54	49.3072	36.2229	-2.2259
55	42.9141	29.8252	-1.8833
56	42.9279	10.632	-1.3725
57	42.9187	23.4274	-1.713
58	42.9096	36.2229	-2.0536
59	49.3256	10.632	-1.5448
60	49.3302	4.2342	-1.3745
61	49.3164	23.4274	-1.8853
